City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Barcelos,PT,71.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
245,Thompson,CA,75.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
247,Kyabe,TD,71.98,overcast clouds,9.4515,18.9449,
248,Marsa Matruh,EG,79.2,clear sky,31.3525,27.2453,Beau Site
249,Quang Ngai,VN,75.58,moderate rain,15.1167,108.8,Central Hotel
251,Moron De La Frontera,ES,73.4,clear sky,37.1208,-5.454,La Morona Hotel
252,Moindou,NC,72.39,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
255,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
258,Maragogi,BR,74.75,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
261,Bengkulu,ID,74.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
262,Ajaccio,FR,75.18,clear sky,42.0,8.9167,Sole E Monte
263,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
264,Kavieng,PG,81.27,light rain,-2.5744,150.7967,Nusa Island Retreat
265,Carutapera,BR,79.0,broken clouds,-1.195,-46.02,Lidera
266,Arraial Do Cabo,BR,73.36,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
271,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
273,Athabasca,CA,77.41,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
274,Gwadar,PK,81.09,overcast clouds,25.1216,62.3254,Sadaf Resort
276,Mindelo,CV,81.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
277,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
281,Kutum,SD,72.5,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
283,Cedar City,US,86.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
284,Camocim,BR,81.09,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
285,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
286,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
290,Inongo,CD,73.83,scattered clouds,-1.95,18.2667,Hotel Du Lac
291,Kirakira,SB,79.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
294,Wanlaweyn,SO,73.08,overcast clouds,2.6185,44.8938,GAASHAAN HOME
297,Dabou,CI,73.85,few clouds,5.3256,-4.3769,Résidence N'Da
298,Biak,ID,74.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
299,Estevan,CA,73.22,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
300,Rosetta,EG,78.85,clear sky,31.4044,30.4164,Green Valley
302,Whitecourt,CA,79.84,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
304,Mahuva,IN,81.12,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
310,Wanning,CN,80.1,overcast clouds,18.8003,110.3967,Paradise Hotel
311,Komsomolskiy,UZ,80.71,clear sky,40.4272,71.7189,Ikathouse
313,Half Moon Bay,US,81.57,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
318,Itoigawa,JP,78.03,broken clouds,37.0333,137.85,Hotel Route Inn Itoigawa
320,Darnah,LY,80.1,clear sky,32.767,22.6367,فندق الفردوس
321,Coahuayana,MX,88.9,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
323,Lianyuan,CN,80.06,broken clouds,27.6883,111.6642,Lianyuan Hotel
324,Sibiti,CG,73.49,clear sky,-3.6819,13.3499,Gaby et confort
325,Yashkul,RU,78.51,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
327,Zapotiltic,MX,76.33,overcast clouds,19.6167,-103.4333,HOTEL HUIZAPOLES
333,Gopalpur,IN,79.0,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
335,Daru,PG,77.07,overcast clouds,-9.0763,143.2092,Daru Lodge
337,Sao Filipe,CV,79.79,light rain,14.8961,-24.4956,Hotel Xaguate
339,Roma,US,89.82,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
344,Erzin,TR,77.18,broken clouds,36.9559,36.2,Artemis Otel
350,Lorengau,PG,81.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
351,Omboue,GA,70.68,broken clouds,-1.5746,9.2618,Hotel Olako
354,Mahibadhoo,MV,81.34,overcast clouds,3.7833,72.9667,Omadhoo Inn
355,Leo,BF,82.44,overcast clouds,11.1,-2.1,Hotel Sissilis
360,Sidi Ali,DZ,76.28,clear sky,36.0998,0.4206,Complexe touristique haje bezine
361,Cockburn Town,TC,85.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
362,Isangel,VU,73.51,clear sky,-19.55,169.2667,Tanna Lodge
365,Praia Da Vitoria,PT,74.75,few clouds,38.7333,-27.0667,Hotel Branco I
366,Battle Creek,US,78.55,scattered clouds,42.3212,-85.1797,Baymont by Wyndham Battle Creek Downtown
368,Helong,CN,71.22,broken clouds,42.5397,128.9972,Helong Hotel
371,Hasaki,JP,77.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
372,Afsin,TR,72.72,few clouds,38.2477,36.914,Afsin Ogretmenevi ASO
374,Ignacio De La Llave,MX,85.84,scattered clouds,18.7167,-95.9833,Hotel Valeria
375,Sulya,IN,74.52,overcast clouds,12.5667,75.3833,RIVER ISLAND LODGING
379,Hongjiang,CN,76.41,scattered clouds,27.11,109.9956,洪江大酒店
380,Lalmohan,BD,83.25,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
381,Luwuk,ID,75.47,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
386,Sur,OM,87.4,broken clouds,22.5667,59.5289,Sur Plaza Hotel
387,Porto Torres,IT,80.78,clear sky,40.835,8.3972,Hotel Elisa
390,Kudahuvadhoo,MV,81.81,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
392,Zhanaozen,KZ,79.5,overcast clouds,43.3,52.8,K.korabay 28A
393,Lexington,US,89.49,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
397,Kamarion,GR,75.09,clear sky,36.8,25.8167,Rooms Eleni
398,Moussoro,TD,84.22,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
400,Carauari,BR,80.64,overcast clouds,-4.8828,-66.8958,Hotel Fellip
404,Bangkalan,ID,75.15,clear sky,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
413,Buchanan,LR,75.2,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
421,Zhuhai,CN,84.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
423,Torbay,CA,77.77,broken clouds,47.6666,-52.7314,Gallows Cove
424,Kattivakkam,IN,85.06,light rain,13.2167,80.3167,Euronova Freezer
427,Panguna,PG,70.2,broken clouds,-6.3164,155.4848,
430,Aksu,CN,78.01,clear sky,41.1231,80.2644,Pudong Holiday Hotel
433,Isla Mujeres,MX,82.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
436,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
438,Foligno,IT,80.38,overcast clouds,42.944,12.7011,City Hotel & Suites
439,Le Vauclin,MQ,80.65,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
442,Naifaru,MV,80.78,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
445,Butterworth,MY,82.06,few clouds,5.3991,100.3638,Cititel Penang
449,Chalus,IR,80.06,broken clouds,36.655,51.4204,Rama Spa
453,Celestun,MX,80.71,broken clouds,20.8667,-90.4,Posada Lilia
455,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
456,Broome,US,88.9,broken clouds,42.2506,-75.833,Chenango Valley State Park
458,Xiongyue,CN,76.3,broken clouds,40.1774,122.1228,Samsung Business Hotel
459,Dromolaxia,CY,80.73,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
460,Abnub,EG,87.78,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
